city,pincode,locality,note
Vadodara,390007,Racecourse SO,Blinkit delivers here but Jivo not listed
Vadodara,390011,Manjalpur SO,Blinkit delivers here but Jivo not listed
Vadodara,390013,Maneja SO,Blinkit delivers here but Jivo not listed
Vadodara,390016,Industrial Estate Vadodara SO,Blinkit delivers here but Jivo not listed
Vadodara,390017,Wadi SN Road SO,Blinkit delivers here but Jivo not listed
Vadodara,390018,Karelibaug SO,Blinkit delivers here but Jivo not listed
Vadodara,390020,Akota SO,Blinkit delivers here but Jivo not listed
Vadodara,390021,T B Sanatorium SO,Blinkit delivers here but Jivo not listed
Vadodara,390023,Subhanpura SO,Blinkit delivers here but Jivo not listed
Vadodara,390024,Chhani Rd SO,Blinkit delivers here but Jivo not listed
Vadodara,390025,Soma Talav SO,Blinkit delivers here but Jivo not listed
Vadodara,391320,Jawahar Nagar SO Vadodara,Blinkit delivers here but Jivo not listed
Vadodara,391345,Petrochemical  T Ship SO,Blinkit delivers here but Jivo not listed
Vijayawada,520001,Vijayawada H.O,Blinkit delivers here but Jivo not listed
Vijayawada,520002,Buckinghampet H.O,Blinkit delivers here but Jivo not listed
Vijayawada,520003,Gandhinagaram S.O (Vijayawada),Blinkit delivers here but Jivo not listed
Vijayawada,520008,Vj Polytechnic S.O,Blinkit delivers here but Jivo not listed
Vijayawada,520010,Venkateswarapuram S.O,Blinkit delivers here but Jivo not listed
Vijayawada,520013,Krishnalanka S.O,Blinkit delivers here but Jivo not listed
Vijayawada,520015,Wambay Colony BO,Blinkit delivers here but Jivo not listed
Vijayawada,521108,Enikepadu B.O,Blinkit delivers here but Jivo not listed
Vijayawada,521137,Poranki S.O,Blinkit delivers here but Jivo not listed
Vijayawada,521139,Chodavaram B.O,Blinkit delivers here but Jivo not listed
Vijayawada,521225,Gollapudi S.O,Blinkit delivers here but Jivo not listed
Visakhapatnam,530001,Visakhapatnam H.O,Blinkit delivers here but Jivo not listed
Visakhapatnam,530002,Maharanipeta S.O,Blinkit delivers here but Jivo not listed
Visakhapatnam,530003,Andhra University S.O,Blinkit delivers here but Jivo not listed
Visakhapatnam,530004,Waltair R S H.O,Blinkit delivers here but Jivo not listed
Visakhapatnam,530008,Kancharapalem S.O,Blinkit delivers here but Jivo not listed
Visakhapatnam,530009,N A D S.O,Blinkit delivers here but Jivo not listed
Visakhapatnam,530011,Malkapuram S.O,Blinkit delivers here but Jivo not listed
Visakhapatnam,530012,Jaggayyapalem B.O,Blinkit delivers here but Jivo not listed
Visakhapatnam,530013,P and T Colony (VM) S.O,Blinkit delivers here but Jivo not listed
Visakhapatnam,530015,Zinc Smelter P S.O,Blinkit delivers here but Jivo not listed
Visakhapatnam,530017,L B Colony S.O,Blinkit delivers here but Jivo not listed
Visakhapatnam,530018,Marripalem S.O,Blinkit delivers here but Jivo not listed
Visakhapatnam,530020,Dabagardens S.O,Blinkit delivers here but Jivo not listed
Visakhapatnam,530022,H B Colony S.O,Blinkit delivers here but Jivo not listed
Visakhapatnam,530024,Salagramapuram S.O,Blinkit delivers here but Jivo not listed
Visakhapatnam,530026,Gajuwaka S.O,Blinkit delivers here but Jivo not listed
Visakhapatnam,530027,Narava B.O,Blinkit delivers here but Jivo not listed
Visakhapatnam,530029,Durganagar B.O,Blinkit delivers here but Jivo not listed
Visakhapatnam,530041,Pothinamallayapalem S.O,Blinkit delivers here but Jivo not listed
Visakhapatnam,530043,Visalakshinagar S.O,Blinkit delivers here but Jivo not listed
Visakhapatnam,530045,Sagar Nagar B.O,Blinkit delivers here but Jivo not listed
Visakhapatnam,530046,Vadlapudi S.O,Blinkit delivers here but Jivo not listed
Visakhapatnam,530049,Duvvada B.O,Blinkit delivers here but Jivo not listed
Visakhapatnam,530051,Chinamushidiwada B.O,Blinkit delivers here but Jivo not listed
Visakhapatnam,530053,Pedamadaka B.O,Blinkit delivers here but Jivo not listed
Visakhapatnam,531163,Kapuluppada B.O,Blinkit delivers here but Jivo not listed
Visakhapatnam,531173,Ramavaram B.O,Blinkit delivers here but Jivo not listed
